kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik
"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'English Language: Reading Schemes']",World of Reading Star Wars Boxed Set,4.17,23,Lucasfilm Press,"72,110",12-17,192,Oct,2016,Disney Lucasfilm Press,,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Traditional']",Seven Wonders Book 5: The Legend of the Rift,4.22,2499,Torstein Norstrand,"69,896",9-12,448,Jul,2016,HarperCollins Publishers Inc,,English

"['Children's Fiction', 'Classic Books for Children', 'Traditional', 'Historical', 'Society & Social Issues']",The Trumpeter of Krakow,3.75,7334,Eric P. Kelly,"70,794",12-17,224,Apr,1992,SIMON & SCHUSTER,United States,English

"['Christian Books', 'Religion & Beliefs', 'Bible Stories']",Child's Story Bible,4.61,401,Catherine F. Vos,"69,535",12-17,402,Dec,1983,William B Eerdmans Publishing Co,United States,English

"['Teaching Resources & Education', 'Teaching Resources & Education', 'Nonfiction History Books for Kids']",Captain Cook,3.44,25,David Cuzik,"52,291",12-17,64,May,2005,Usborne Publishing Ltd,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Fantasy Books for Kids']","Magi: The Labyrinth of Magic, Vol. 16",4.31,691,Shinobu Ohtaka,"68,167",12-15,200,Feb,2016,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's General Story Books', 'Fantasy Books for Kids', 'Traditional']","The Beast Within (Villains, Book 2) : A Tale of Beauty's Prince",3.75,26206,Disney Storybook Art Team,"73,646",9-12,224,Jul,2014,Disney Press,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Graphic Novels']","Pokemon Adventures (Gold and Silver), Vol. 14",4.54,1058,Satoshi Yamamoto,"70,529",9-12,272,Jan,2014,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Contemporary Fiction', 'Children's Fiction', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids']",Spaced out (Moon Base Alpha),4.44,5507,Stuart Gibbs,"68,141",12-15,368,Apr,2017,Simon & Schuster Books for Young Readers,,English

"['Numbers & Counting', 'Work', 'Money', 'Business Studies']","Investing for Kids : How to Save, Invest and Grow Money",4.37,92,Allison Tom,"70,325",12-15,142,Dec,2020,Rockridge Press,,English

"['Children's Music Books', 'Pop Music', 'Drama', 'Television & Film', 'People & Places', 'Musical Story & Educational Books For Kids']",Who Was Elvis Presley?,4.12,1210,John O'Brien,"58,611",9-12,112,Aug,2007,Penguin Putnam Inc,United States,English

"['Art', 'People & Places', 'Art & Design']",Kids Draw Big Book of Everything Manga,4.08,36,C Hart,"70,592",9-12,256,Feb,2009,Watson-Guptill Publications,United States,English

"['Fantasy Books for Kids', 'Romance Books for Teenagers', 'Witches & Ghosts (Children's/YA)']",Trial By Fire,3.94,17708,Josephine Angelini,"70,594",12+,384,Jul,2015,Pan Macmillan,United Kingdom,English

"['Children's General Story Books', 'Thriller Books for Children', 'Sci Fi Books for Kids']",The Resistance,3.75,7210,Gemma Malley,"61,627",12-17,336,Nov,2012,Bloomsbury Publishing PLC,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Animal Stories']",The Rescue Princesses: The Moonlit Mystery,4.3,417,Sharon Tancredi,"72,229",12-17,128,Jun,2015,Nosy Crow Ltd,United Kingdom,English

"['Children's Fiction', 'Nonfiction History Books for Kids', 'Battles']",The Second World War,4.19,16,Conrad Mason,"45,912",12-17,64,Mar,2011,Usborne Publishing Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'People & Places', 'Society & Social Issues', 'Family Issues']",No Hitting!,3.74,200,Karen Katz,"57,745",12-17,24,Jul,2011,Penguin Putnam Inc,,English

"['Teaching Resources & Education', 'Teaching Resources & Education', 'Children's Foreign Language Books']",Spanish for Beginners,3.8,82,John Shackell,"53,753",12-17,48,Aug,2001,Usborne Publishing Ltd,United Kingdom,English

"['Children's Fiction', 'True Stories for Children', 'English Language: Reading Schemes']",The Secret Garden,4.27,106,Alan Marks,"69,819",12-17,64,Nov,2007,Usborne Publishing Ltd,United Kingdom,English

"['Adventure Books', 'Science Fiction', 'Science Fiction', 'Children's Fiction', 'Sci Fi Books for Kids']",Generation One : Lorien Legacies Reborn,4.22,6696,Pittacus Lore,"69,173",,416,May,2018,Penguin Books Ltd,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Family', 'School Stories', 'Family Issues', 'Siblings']",The Twins at St Clare's : Book 1,4.04,12505,Enid Blyton,"69,561",9+,192,Jun,2016,Hachette Children's Group,United Kingdom,English

"['Children's Music Books', 'Musical Story & Educational Books For Kids']",Progressive Steps to Syncopation for the Modern Drummer,4.54,191,Ted Reed,"35,823",12-17,66,Oct,2015,WWW.BNPUBLISHING.COM,,English

"['Children's Fiction', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Animal Stories']",The Rescue Princesses: The Stolen Crystals,4.32,377,Sharon Tancredi,"73,157",12-17,128,Jun,2015,Nosy Crow Ltd,United Kingdom,English

"['Children's General Story Books', 'Mystery Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Romance Books for Teenagers', 'Family']",Silence,4.08,272153,Becca Fitzpatrick,"69,750",12-17,464,Jan,2013,SIMON & SCHUSTER,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'English Language: Reading Schemes']",Nate the Great and the Snowy Trail,4.07,691,Marc Simont,"68,711",9-12,80,Sep,2005,Random House USA Inc,United States,English

"['Film Theory & Criticism', 'Film Theory & Criticism', 'Animated Films', 'Animated Films', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's General Story Books', 'Graphic Novels', 'Art & Design']",Nausicaa of the Valley of the Wind: Watercolor Impressions,4.51,307,Hayao Miyazaki,"12,459",12-17,208,Jun,2011,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Non-Fiction', 'Work', 'Art & Design', 'English Language: Reading Schemes']",DK Readers L1: Jobs People Do: A Day in the Life of a Builder,3.48,29,Linda Hayward,"69,682",12-17,32,Mar,2001,DK,United States,English

"['Children's Fiction', 'Family', 'Family Issues']",My Mum Tracy Beaker : Now a major TV series,4.2,1786,Nick Sharratt,"71,976",12-15,432,Mar,2019,Penguin Random House Children's UK,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Animal Stories']",Warriors: The Broken Code ,4.35,3547,Erin Hunter,"69,811",12-15,304,May,2019,HarperCollins Publishers Inc,United States,English

"['Language: Reference & General', 'English Language: Reading Schemes', 'English Language: Reading & Writing Skills']",Key Words: 1c Read and write,3.94,35,William Murray,"46,070",9-12,56,Aug,2009,Penguin Random House Children's UK,United Kingdom,English

['Classic Books for Children'],The Children of the New Forest,3.87,5272,Captain Frederick Marryat,"68,508",12-17,304,Dec,1999,Wordsworth Editions Ltd,United Kingdom,English

"['People & Places', 'Children's Hobby & Gaming Books', 'Children's Geography Books', 'Atlases']","National Geographic Kids World Atlas, 5th Edition",4.37,122,National Geographic Kids,"45,143",12-15,208,Jul,2018,National Geographic Kids,,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'Historical', 'People & Places']",The Watsons Go to Birmingham--1963,3.99,65052,Christopher Paul Curtis,"70,739",12-17,272,Jan,2001,Bantam Doubleday Dell Publishing Group Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids', 'Short Stories for Kids', 'English Language: Reading Schemes']",Horrid Henry's Christmas,3.96,323,Tony Ross,"69,704",9-12,85,Sep,2009,"Sourcebooks, Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'True Stories for Children']",Black Beauty,3.98,265268,Alan Marks,"53,253",12-17,64,Nov,2005,Usborne Publishing Ltd,United Kingdom,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'English Language: Reading Schemes']",Rainbow Magic: Crystal The Snow Fairy : The Weather Fairies Book 1,3.96,3434,Georgie Ripper,"68,493",12-17,80,Jun,2021,Hachette Children's Group,United Kingdom,English

"['Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids']",You Have to Stop This,4.32,12207,Pseudonymous Bosch,"85,266",9-12,368,Oct,2012,"Little, Brown & Company",United States,English

"['Christian Theology', 'Religion & Beliefs', 'Bible Stories']",Images of God for Young Children,4.31,72,Barbara Nascimbeni,"77,582",9-12,88,Dec,2010,William B Eerdmans Publishing Co,United States,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Animal Stories']",Elidor,3.85,3364,Alan Garner,"66,114",12-17,224,Sep,2008,HarperCollins Publishers,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Originals: The Rise : Book 1,4.23,4143,Julie Plec,"66,082",12+,352,Feb,2015,Hachette Children's Group,United Kingdom,English

"['Nonfiction History Books for Kids', 'People & Places', 'Natural History Books for Children', 'History Books for Kids']",I Survived True Stories : Five Epic Disasters,4.26,1358,Lauren Tarshis,"70,107",9-12,176,Sep,2014,Scholastic US,United States,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Funny Books for Kids', 'Historical', 'Graphic Novels']",Asterix: Asterix and The Roman Agent : Album 15,4.2,6081,Albert Uderzo,"55,636",12-17,48,Mar,2005,"Little, Brown Book Group",United Kingdom,English

"['Children's Fiction', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Graphic Novels']",The Arctic Incident : The Graphic Novel,4.07,2911,Giovanni Rigano,"65,103",9-12,128,Aug,2009,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'Bullying & Abuse', 'Family Issues']",Indigo Blue,3.91,5383,Cathy Cassidy,"64,691",9-12,208,Jun,2011,Penguin Random House Children's UK,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Romance', 'Romance Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's General Story Books', 'Graphic Novels']",My Next Life as a Villainess: All Routes Lead to Doom! Volume 1 : All Routes Lead to Doom! Volume 1,4.24,2162,Nami  Hidaka,"28,537",12-15,250,May,2020,J-Novel Club,,English

"['Activity Books', 'Mathematics & Numeracy', 'General Study Books']",Everything You Need to Ace Geometry in One Big Fat Notebook,4.54,71,Christy Needham,"15,216",,624,Sep,2020,Workman Publishing,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's General Story Books', 'Fantasy Books for Kids']","Fullmetal Alchemist, Vol. 18",4.6,7600,Hiromu Arakawa,"48,669",,192,Oct,2009,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",Beast Quest: Kragos and Kildor the Two-Headed Demon : Special 4,4.1,116,Adam Blade,"71,758",12-17,192,Aug,2014,Hachette Children's Group,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Witches & Ghosts (Children's/YA)']",The Lost Book of the White,3.99,23759,Wesley Chu,"70,294",12-15,400,Sep,2020,Simon & Schuster Ltd,United Kingdom,English

"['Early Learning', 'Anthologies', 'Science', 'Space', 'Technology']",Unlocking the Universe,4.38,492,Lucy Hawking,"62,263",12-15,448,Aug,2021,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Historical']",Death Cloud,3.72,8942,Andrew Lane,"44,336",9+,320,Jul,2014,Pan Macmillan,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Graphic Novels']","Little Witch Academia, Vol. 2 (manga)",3.97,765,TRIGGER,"23,416",12-15,176,Nov,2018,"Little, Brown & Company",United States,English

"['Usage & Grammar Guides', 'Language Teaching & Learning Material & Coursework', 'Grammar & Vocabulary', 'Encyclopaedias & Reference Works', 'Reference Works', 'Children's Foreign Language Books', 'Study & Revision Guides']",Easy Learning Italian Grammar and Practice : Trusted Support for Learning,4.6,5,Collins Dictionaries,"76,851",12-17,320,Sep,2016,HarperCollins Publishers,United Kingdom,"English, Italian"

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Family Issues', 'Death & Bereavement']",The Pigman,3.6,27320,Paul Zindel,"69,925",12-17,224,Mar,2018,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books']",GingerSnaps,4.02,5693,Cathy Cassidy,"71,287",9-12,272,Jun,2011,Penguin Random House Children's UK,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids', 'School Stories', 'Graphic Novels']",Babymouse ,3.89,19399,Matthew Holm,"70,493",9-12,96,Dec,2005,Random House USA Inc,United States,English

"['Fantasy', 'Fantasy Books', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'School Stories']",Harry Potter Und Der Orden Des Phonix,4.5,3093035,J. K. Rowling,"71,250",9+,1020,Mar,2009,Carlsen Verlag GmbH,Germany,German

"['Psychology', 'Abnormal Psychology', 'Clinical & Internal Medicine', 'Coping With Stress', 'Disability']",Asperger Syndrome and Anxiety : A Guide to Successful Stress Management,3.58,245,Dr Valerie Gaus,"71,150",12-17,224,Mar,2009,Jessica Kingsley Publishers,United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Animal Stories']",Warriors: The Broken Code ,4.52,2320,Erin Hunter,"68,856",,352,Dec,2019,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books']",My Life as an Alphabet,3.95,2023,Barry Jonsberg,"71,825",12-17,264,Aug,2015,Allen & Unwin,Australia,English

"['Activity Books', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Funny Books for Kids']",Case Closed ,4.08,657,Lauren Magaziner,"70,093",12-15,400,May,2019,HarperCollins Publishers Inc,United States,English

"['Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids']",Thirst No. 4 : The Shadow of Death,4.24,11351,Christopher Pike,"70,645",12-17,528,Aug,2011,SIMON & SCHUSTER,United States,English

"['Children's Fiction', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'People & Places']",Arcana Rising,4.34,9408,Kresley Cole,"51,511",12-15,280,Aug,2016,Valkyrie Press,,English

"['Nonfiction History Books for Kids', 'Battles', 'Jokes & Humour', 'Cartoons', 'History Books for Kids']","Nathan Hale's Hazardous Tales: Treaties, Trenches, Mud, and Blood : (A World War I Tale)",4.42,3545,Nathan Hale,"45,382",9-12,128,May,2014,Abrams,United States,English

"['Dictionaries & Dictionary Books', 'Thesauri', 'Dictionaries for Kids']",Colour Oxford Dictionary & Thesaurus,4.88,8,Oxford Languages,"63,070",12-17,800,Nov,2013,Oxford University Press,United Kingdom,English

"['Children's General Story Books', 'Family', 'Family Issues', 'Relationships']",Aristotle and Dante Dive Into the Waters of the World,4.14,61720,Benjamin Alire Saenz,"71,261",12-15,528,Oct,2021,Simon & Schuster Books for Young Readers,,English

"['Children's Fiction', 'Children's General Story Books', 'Science', 'Sciences', 'Physics Books for Kids', 'Technology']",Basher Science: Physics,4.27,410,Simon Basher,"75,251",9-12,64,Nov,2013,Pan Macmillan,United Kingdom,English

"['Natural History Books for Children', 'Wildlife', 'Science', 'Sciences']",Over and Under the Pond,4.13,2222,Christopher Silas Neal,"72,521",12-17,48,Mar,2017,Chronicle Books,United States,English

"['Examinations & Assessment', 'Examinations & Assessment', 'Secondary Schools', 'Secondary Schools', 'Mathematics', 'Mathematics & Numeracy']",Cambridge IGCSE (TM) Maths Student's Book,4.75,4,Chris Pearce,"79,211",12-15,780,Jun,2018,HarperCollins Publishers,United Kingdom,English
